ID,EmployerName,MinPositionSalary,MaxPositionSalary,OvertimePay,LumpSumPay,OtherPay,EmployeesRetirementCostCovered,HealthDentalVision,DOB,PensionFormula,EmployerURL,Location,TotalWages
113287,Gujarat National Law University,31200,53496,0,6.68,0,,0,07-04-1973,2.00% @ 62,gnlu.ac.in,,115.77
59898,Gujarat University,56316,98904,0,,650,,22015.08,27-01-1979,2.00% @ 55,gujaratuniversity.org.in,,61703
11585,Sardarkrushinagar Dantiwada Agricultural University,22879.56,38749.56,0,0,575,0,0,26-09-1974,,sdau.edu.in,Palanpur,1442.5
26763,Dr. Babasaheb Ambedkar Open University,85188,150792,0,0,34427,0,17631.72,26-05-1951,2.00% @ 55,baou.edu.in,Ahmedabad,132589.92
84907,Navsari Agricultural University,85188,150792,0,0,0,,9237.72,08-11-1954,2.00% @ 55,www.nau.in,,109819
117891,Shri Govind Guru University,28079.4,41432.76,0,0,0,0,0,16-01-1961,,sggu.ac.in,,1808.3
20774,Bhakta Kavi Narsinh Mehta University,38064,66864,0,0,13.12,,0,20-11-1970,Part-Time Seasonal and Temporary (PST) Retirement Plan,www.bknmu.edu.in,Junagadh,380.05
50493,Gujarat Ayurved University,22879.56,38749.56,0,0,2996.24,0,0,03-03-1965,,ayurveduniversity.edu.in,,2996.24
4133,Institute of Infrastructure Technology Research and Management,41868,73548,0,0,325,0,9319.08,16-07-1962,2.00% @ 62,iitram.ac.in,Ahmedabad,24270
39825,Maharaja Krishnakumarsinhji Bhavnagar University,37380,65700,0,12.69,0,0,0,27-07-1968,2.00% @ 62,www.mkbhavuni.edu.in,Bhavnagar,277.69
72545,Gujarat Technological University,59076,131088,0,0,1753.4,,1018.08,09-03-1980,Part-Time Seasonal and Temporary (PST) Retirement Plan,gtu.ac.in,Ahmedabad,13753.48
74575,Gujarat Technological University,22879.56,38749.56,0,0,1152.8,,0,08-03-1960,,gtu.ac.in,Ahmedabad,1152.8
21335,Bhakta Kavi Narsinh Mehta University,22879.56,38749.56,0,0,2737.6,0,0,26-02-1983,Part-Time Seasonal and Temporary (PST) Retirement Plan,www.bknmu.edu.in,,4396.4
32329,Anand Agricultural University,22879.56,38749.56,0,0,16.5,,0,14-01-1962,,www.aau.in,,16.5
65198,Gujarat University,28152,66204,0,0,0,0,0,19-03-1951,,gujaratuniversity.org.in,,1422.23
10088,Sardarkrushinagar Dantiwada Agricultural University,49512,66192,0,0,411.9,0,0,05-10-1984,Part-Time Seasonal and Temporary (PST) Retirement Plan,sdau.edu.in,Palanpur,7021.5
109108,Saurashtra University,59076,131088,0,0,4149.2,0,14.94,18-08-1988,Part-Time Seasonal and Temporary (PST) Retirement Plan,saurashtrauniversity.edu,,12448.4
42791,Maharaja Krishnakumarsinhji Bhavnagar University,49512,66192,0,0,8778.37,,19981.27,02-11-1986,Part-Time Seasonal and Temporary (PST) Retirement Plan,www.mkbhavuni.edu.in,Bhavnagar,37241.19
27529,Dr. Babasaheb Ambedkar Open University,49512,66192,0,0,13371,0,830.79,06-04-1989,2.00% @ 62,baou.edu.in,,49417
23137,Bhakta Kavi Narsinh Mehta University,59076,131088,0,0,0,0,9319.08,22-02-1971,2.00% @ 55,www.bknmu.edu.in,,78901.98
36333,Dharamsinh Desai University,49512,66192,0,0,0,0,280,13-06-1975,2.00% @ 60,ddu.ac.in,,15962
113772,Gujarat National Law University,28080,52920,0,0,0,0,0,15-08-1975,,gnlu.ac.in,Gandhinagar,1182.37
59805,Gujarat University,39456,73944,870.81,0,1573,0,9237.72,17-08-1965,2.00% @ 62,gujaratuniversity.org.in,Ahmedabad,53176.85
74398,Gujarat Technological University,22879.56,38749.56,0,0,1087.5,0,0,27-03-1984,,gtu.ac.in,Ahmedabad,1087.5
97216,Gujarat Forensic Sciences University,33336,83460,0,0,-41.43,0,19213.16,26-04-1951,2.00% @ 62,gfsu.edu.in,Gandhinagar,30659.16
8887,Sardarkrushinagar Dantiwada Agricultural University,28079.4,41432.76,0,,0,,0,05-11-1957,,sdau.edu.in,,75.4
5299,Institute of Infrastructure Technology Research and Management,22879.56,38749.56,0,0,3494.03,,0,27-08-1959,,iitram.ac.in,Ahmedabad,3494.03
81995,Maharaja Sayajirao University of Baroda,22879.56,38749.56,0,0,1293.5,0,0,13-10-1952,,msubaroda.ac.in,,1293.5
114152,Gujarat National Law University,85188,150792,0,0,0,0,9319.08,11-06-1978,2.00% @ 55,gnlu.ac.in,Gandhinagar,102871.32
7836,Sardarkrushinagar Dantiwada Agricultural University,59076,131088,0,0,5000,0,23270.64,11-06-1982,2.00% @ 62,sdau.edu.in,,88453.84
53890,Gujarat University of Transplantation Sciences,28079.4,41432.76,0,0,0,,0,08-10-1951,,www.guts.education,,615
23245,Bhakta Kavi Narsinh Mehta University,59076,131088,0,0,0,0,0,20-09-1971,Part-Time Seasonal and Temporary (PST) Retirement Plan,www.bknmu.edu.in,,1902.78
34978,Dharamsinh Desai University,85188,150792,0,0,0,,17109.6,26-02-1977,2.00% @ 55,ddu.ac.in,Nadiad,121584.34
85437,Navsari Agricultural University,32760,106584,0,0,6.75,0,0,24-03-1959,Part-Time Seasonal and Temporary (PST) Retirement Plan,www.nau.in,Navsari,2644.84
70142,Gujarat Technological University,85188,150792,0,0,0,,9319.08,22-02-1965,2.00% @ 55,gtu.ac.in,Ahmedabad,108347.32
63057,Gujarat University,59076,131088,0,0,976.6,0,2165.16,03-02-1982,2.00% @ 62,gujaratuniversity.org.in,,39714.06
88125,Gujarat Forensic Sciences University,39456,73944,0,0,650,,8595.72,01-02-1980,2.00% @ 62,gfsu.edu.in,,58319
71290,Gujarat Technological University,49512,66192,0,0,11078.21,0,10114,17-06-1974,2.00% @ 62,gtu.ac.in,,38275.18
115726,Gujarat National Law University,22879.56,38749.56,0,0,3120.2,0,0,11-09-1970,,gnlu.ac.in,Gandhinagar,3120.2
94353,Gujarat Forensic Sciences University,22879.56,38749.56,0,0,198,,0,22-10-1953,,gfsu.edu.in,Gandhinagar,198
71600,Gujarat Technological University,49512,66192,0,0,0,,0,07-07-1983,Part-Time Seasonal and Temporary (PST) Retirement Plan,gtu.ac.in,Ahmedabad,11211.8
19004,Ganpat University,22879.56,291194.4,16.5,0,0,0,0,11-05-1963,Part-Time Seasonal and Temporary (PST) Retirement Plan,gu.ac.in,Mehsana,3888.5
66538,Krantiguru Shyamji Krishna Verma Kachchh University,59076,131088,0,0,358.67,0,17631.72,25-05-1952,2.00% @ 55,kskvku.digitaluniversity.ac,Bhuj,26119.37
90642,Gujarat Forensic Sciences University,85188,150792,0,0,19322,,9237.72,09-06-1950,2.00% @ 55,gfsu.edu.in,Gandhinagar,135276.16
108698,Saurashtra University,49512,66192,0,0,0,,9329.16,09-01-1978,2.00% @ 55,saurashtrauniversity.edu,Rajkot,40244.16
62443,Gujarat University,49512,66192,0,0,2620.8,,1499.78,04-11-1954,Part-Time Seasonal and Temporary (PST) Retirement Plan,gujaratuniversity.org.in,Ahmedabad,15724.8
101745,Sardar Patel University,59076,131088,0,0,28.27,0,1450,24-09-1966,Part-Time Seasonal and Temporary (PST) Retirement Plan,spuvvn.edu,,13432.01
100220,Sardar Patel University,132,2880,0,,900,0,0,20-10-1958,Part-Time Seasonal and Temporary (PST) Retirement Plan,spuvvn.edu,Vallabh Vidhyanagar ,900
49122,Gujarat Ayurved University,22879.56,38749.56,0,0,5170.38,0,0,08-07-1979,,ayurveduniversity.edu.in,,8720.88
63874,Gujarat University,22879.56,38749.56,0,0,5144.01,0,0,21-01-1957,,gujaratuniversity.org.in,Ahmedabad,5719.01
18484,Shree Somnath Sanskrit University,22879.56,38749.56,0,0,277.2,,0,16-02-1965,,sssu.ac.in,Veraval,277.2
14432,Sardarkrushinagar Dantiwada Agricultural University,22879.56,38749.56,0,0,768,0,0,19-04-1966,,sdau.edu.in,Palanpur,768
33776,Dharamsinh Desai University,34152,59976,0,0,650,0,8803.54,25-02-1963,2.00% @ 62,ddu.ac.in,Nadiad,36888.52
99750,Sardar Patel University,67656,143952,0,0,100,0,17631.72,23-05-1979,2.00% @ 55,spuvvn.edu,Vallabh Vidhyanagar ,106182.24
118735,Shri Govind Guru University,22879.56,38749.56,0,0,1433.65,,0,05-08-1984,,sggu.ac.in,Godhra,1906.15
33184,Anand Agricultural University,22879.56,38749.56,0,0,852.5,,0,14-05-1952,,www.aau.in,,852.5
10010,Sardarkrushinagar Dantiwada Agricultural University,49512,66192,0,0,4794.91,0,0,11-05-1976,Part-Time Seasonal and Temporary (PST) Retirement Plan,sdau.edu.in,Palanpur,17231.16
90495,Gujarat Forensic Sciences University,67656,143952,0,0,0,,23270.64,26-04-1964,2.00% @ 55,gfsu.edu.in,Gandhinagar,86505.04
28929,Dr. Babasaheb Ambedkar Open University,22879.56,38749.56,0,0,528,0,0,16-04-1969,,baou.edu.in,Ahmedabad,528
4486,Institute of Infrastructure Technology Research and Management,22879.56,38749.56,0,0,4909.35,,0,13-07-1979,,iitram.ac.in,Ahmedabad,5877.35
100067,Sardar Patel University,85188,150792,0,0,4000,,23270.64,09-05-1959,2.00% @ 55,spuvvn.edu,Vallabh Vidhyanagar ,103258.64
59361,Gujarat University of Transplantation Sciences,22879.56,38749.56,0,0,1592.3,,0,24-11-1951,,www.guts.education,,1592.3
57665,Gujarat University of Transplantation Sciences,22879.56,38749.56,0,0,7334.25,,0,10-08-1970,,www.guts.education,,10576.08
94768,Gujarat Forensic Sciences University,22879.56,38749.56,0,0,4628.3,0,0,16-06-1978,,gfsu.edu.in,,4628.3
99472,Sardar Patel University,85188,150792,0,5650.75,0,0,16162.41,04-01-1952,2.00% @ 55,spuvvn.edu,Vallabh Vidhyanagar ,132644.96
49937,Gujarat Ayurved University,22879.56,38749.56,0,0,516,,0,08-08-1957,,ayurveduniversity.edu.in,Jamnagar,516
120581,Shri Govind Guru University,22879.56,38749.56,0,0,1132.75,0,0,02-05-1956,,sggu.ac.in,,1132.75
24462,Bhakta Kavi Narsinh Mehta University,22879.56,38749.56,0,0,1466,,0,08-01-1951,,www.bknmu.edu.in,Junagadh,1466
40428,Maharaja Krishnakumarsinhji Bhavnagar University,22879.56,38749.56,0,0,2794,0,0,25-11-1982,Part-Time Seasonal and Temporary (PST) Retirement Plan,www.mkbhavuni.edu.in,,4136
38031,Dharamsinh Desai University,22879.56,38749.56,0,0,435.5,0,0,10-08-1972,,ddu.ac.in,Nadiad,435.5
76919,Maharaja Sayajirao University of Baroda,44712,157800,0,,258,,23270.64,24-02-1984,2.00% @ 55,msubaroda.ac.in,,86028.86
110352,Saurashtra University,22879.56,38749.56,0,0,0,0,0,24-07-1951,,saurashtrauniversity.edu,Rajkot,2538
9259,Sardarkrushinagar Dantiwada Agricultural University,28079.4,41432.76,0,0,0,,0,20-07-1964,,sdau.edu.in,Palanpur,306.8
11398,Sardarkrushinagar Dantiwada Agricultural University,22879.56,38749.56,0,0,55,0,0,06-07-1965,,sdau.edu.in,Palanpur,961.1
83464,Navsari Agricultural University,46764,82152,0,0,172.81,0,899.76,24-05-1968,2.00% @ 62,www.nau.in,,34968.28
39587,Maharaja Krishnakumarsinhji Bhavnagar University,31200,53496,0,,650,0,23270.64,16-06-1968,2.00% @ 55,www.mkbhavuni.edu.in,Bhavnagar,34839.8
89226,Gujarat Forensic Sciences University,66408,85752,6481.54,,2735.6,,17751.72,08-06-1984,2.00% @ 62,gfsu.edu.in,Gandhinagar,77631.02
96858,Gujarat Forensic Sciences University,28152,66204,0,0,0,,9134.04,20-03-1971,2.00% @ 62,gfsu.edu.in,Gandhinagar,16050
10049,Sardarkrushinagar Dantiwada Agricultural University,49512,66192,0,0,0,,0,19-07-1955,Part-Time Seasonal and Temporary (PST) Retirement Plan,sdau.edu.in,Palanpur,13949.97
33600,Dharamsinh Desai University,46764,82152,0,0,650,,23270.64,11-09-1962,2.00% @ 55,ddu.ac.in,,58591.92
104835,Sardar Patel University,28152,66204,0,,0,0,0,25-06-1972,,spuvvn.edu,Vallabh Vidhyanagar ,1929.6
26447,Dr. Babasaheb Ambedkar Open University,31200,48888,1819.29,0,1839.89,,1769.64,05-05-1956,2.00% @ 55,baou.edu.in,,45207.46
36606,Dharamsinh Desai University,59076,131088,0,0,0,0,23270.64,18-11-1966,2.00% @ 55,ddu.ac.in,,63375
81873,Maharaja Sayajirao University of Baroda,22879.56,38749.56,0,0,4877.6,0,0,05-09-1964,,msubaroda.ac.in,Vadodara,4877.6
46317,Maharaja Krishnakumarsinhji Bhavnagar University,54648,77856,0,0,1023.79,,9237.72,03-07-1970,2.00% @ 60,www.mkbhavuni.edu.in,,56378.79
108454,Saurashtra University,49512,66192,0,0,0,,0,07-03-1971,Part-Time Seasonal and Temporary (PST) Retirement Plan,saurashtrauniversity.edu,Rajkot,3850.13
100461,Sardar Patel University,28079.4,41432.76,0,0,0,0,0,15-11-1969,,spuvvn.edu,Vallabh Vidhyanagar ,540
69928,Gujarat Technological University,85188,150792,0,0,2500,0,9797.64,23-10-1975,2.00% @ 55,gtu.ac.in,,107140.32
11497,Sardarkrushinagar Dantiwada Agricultural University,22879.56,38749.56,0,0,2558,0,0,26-01-1965,,sdau.edu.in,Palanpur,4547
33571,Dharamsinh Desai University,39456,73944,0,1536.84,650,0,7338.36,07-10-1970,2.00% @ 62,ddu.ac.in,Nadiad,13634.17
34775,Dharamsinh Desai University,59076,131088,0,0,2087,0,23270.64,16-07-1984,2.00% @ 62,ddu.ac.in,Nadiad,67797.4
8935,Sardarkrushinagar Dantiwada Agricultural University,28079.4,41432.76,0,0,0,,0,20-11-1952,Part-Time Seasonal and Temporary (PST) Retirement Plan,sdau.edu.in,Palanpur,372
42564,Maharaja Krishnakumarsinhji Bhavnagar University,28079.4,41432.76,0,0,0,0,0,17-11-1956,,www.mkbhavuni.edu.in,Bhavnagar,806
10606,Sardarkrushinagar Dantiwada Agricultural University,67656,143952,0,0,0,,23270.64,08-04-1950,2.00% @ 55,sdau.edu.in,Palanpur,81627.16
94294,Gujarat Forensic Sciences University,22879.56,38749.56,0,0,5637.5,,0,08-03-1956,,gfsu.edu.in,Gandhinagar,12677.5
73402,Gujarat Technological University,22879.56,38749.56,0,0,4794.9,0,0,10-10-1969,,gtu.ac.in,Ahmedabad,6054.4
9133,Sardarkrushinagar Dantiwada Agricultural University,28079.4,41432.76,0,0,0,,0,04-02-1986,,sdau.edu.in,Palanpur,1398.8
37605,Dharamsinh Desai University,22879.56,38749.56,0,0,8272,,0,23-05-1959,,ddu.ac.in,,11026.4
114963,Gujarat National Law University,59076,131088,0,0,16201.6,0,21569.28,10-05-1952,2.00% @ 62,gnlu.ac.in,Gandhinagar,48514.56
95264,Gujarat Forensic Sciences University,22879.56,38749.56,0,0,1332,,0,25-11-1971,,gfsu.edu.in,Gandhinagar,1332
56568,Gujarat University of Transplantation Sciences,22879.56,38749.56,0,,0,,0,24-11-1964,,www.guts.education,Ahmedabad,35.2
34320,Dharamsinh Desai University,85188,162768,0,0,19572.6,,9329.16,19-05-1965,2.00% @ 55,ddu.ac.in,Nadiad,123733.08
68397,Gujarat Technological University,60864,213120,0,0,138,0,9237.72,08-11-1982,2.00% @ 55,gtu.ac.in,Ahmedabad,173957
123289,Veer Narmad South Gujarat University,22879.56,38749.56,0,0,6443,0,0,25-05-1951,,vnsgu.ac.in,Surat,6443
33510,Dharamsinh Desai University,49932,93552,0,3234.44,325,0,3882.95,09-09-1970,2.00% @ 60,ddu.ac.in,Nadiad,15622.94
258,Raksha Shakti University,44712,157800,0,0,258,0,9237.72,09-11-1953,2.00% @ 55,rsu.ac.in,Ahmedabad,91367.04
97875,Sardar Patel University,34152,59976,0,0,0,,1448.32,06-02-1989,Part-Time Seasonal and Temporary (PST) Retirement Plan,spuvvn.edu,Vallabh Vidhyanagar ,18351.33
37259,Dharamsinh Desai University,22879.56,38749.56,0,0,6431.75,,0,15-11-1965,,ddu.ac.in,Nadiad,7839.75
51303,Gujarat University of Transplantation Sciences,37380,65700,583.99,,650,0,9237.72,10-09-1952,2.00% @ 62,www.guts.education,,38347.54
76560,Maharaja Sayajirao University of Baroda,31200,53496,0,0,1837.05,0,8126.22,12-10-1957,2.00% @ 62,msubaroda.ac.in,Vadodara,31715.78
77955,Maharaja Sayajirao University of Baroda,52464,125736,0,0,650,0,23270.64,23-04-1976,2.00% @ 55,msubaroda.ac.in,Vadodara,88436
50372,Gujarat Ayurved University,59076,110088,0,0,0,,0,16-02-1973,Part-Time Seasonal and Temporary (PST) Retirement Plan,ayurveduniversity.edu.in,Jamnagar,1917.39
76925,Maharaja Sayajirao University of Baroda,44712,157800,0,15172.5,50,0,18925.7,15-10-1971,2.00% @ 62,msubaroda.ac.in,,93762.5
18817,Ganpat University,37380,65700,0,0,650,0,19058.66,22-07-1981,2.00% @ 62,gu.ac.in,,42186.09
82935,Maharaja Sayajirao University of Baroda,22879.56,38749.56,0,,225,,0,23-11-1951,,msubaroda.ac.in,Vadodara,225
11753,Sardarkrushinagar Dantiwada Agricultural University,22879.56,38749.56,0,0,55,0,0,11-11-1976,,sdau.edu.in,Palanpur,2671.35
34585,Dharamsinh Desai University,59076,131088,0,0,0,0,17631.72,09-07-1986,2.00% @ 62,ddu.ac.in,,74695.32
112680,Saurashtra University,22879.56,38749.56,0,0,6023.75,,0,23-10-1957,,saurashtrauniversity.edu,,6023.75
63945,Gujarat University,22879.56,38749.56,0,0,8530.5,0,0,21-11-1953,,gujaratuniversity.org.in,Ahmedabad,11957.5
93836,Gujarat Forensic Sciences University,22879.56,38749.56,0,0,0,0,0,06-09-1977,,gfsu.edu.in,Gandhinagar,2923.8
51771,Gujarat University of Transplantation Sciences,22879.56,291194.4,0,,0,0,0,01-04-1974,Part-Time Seasonal and Temporary (PST) Retirement Plan,www.guts.education,Ahmedabad,4452.4
40140,Maharaja Krishnakumarsinhji Bhavnagar University,60864,213120,0,0,60,0,9329.16,19-05-1986,2.00% @ 55,www.mkbhavuni.edu.in,Bhavnagar,100711.02
61785,Gujarat University,28079.4,41432.76,0,0,0,0,0,12-09-1969,,gujaratuniversity.org.in,,1415.7
19890,Ganpat University,50988,64128,191.6,0,145.13,0,19671.36,14-07-1971,2.00% @ 55,gu.ac.in,Mehsana,50399.89
123420,Veer Narmad South Gujarat University,22879.56,38749.56,0,0,2587.6,,0,12-10-1967,,vnsgu.ac.in,Surat,2587.6
49980,Gujarat Ayurved University,22879.56,38749.56,0,0,927,,0,23-01-1975,,ayurveduniversity.edu.in,,927
57187,Gujarat University of Transplantation Sciences,22879.56,38749.56,0,0,2403.5,,0,20-10-1984,,www.guts.education,Ahmedabad,2403.5
112062,Saurashtra University,22879.56,38749.56,0,0,22.4,0,0,15-02-1960,,saurashtrauniversity.edu,Rajkot,22.4
82260,Maharaja Sayajirao University of Baroda,22879.56,38749.56,0,0,6564.8,,0,20-03-1968,,msubaroda.ac.in,Vadodara,10942.8
91917,Gujarat Forensic Sciences University,28079.4,41432.76,0,0,0,0,0,24-02-1961,,gfsu.edu.in,Gandhinagar,1105
17201,Hemchandracharya North Gujarat University,22879.56,38749.56,0,0,687.5,0,0,07-11-1973,,ngu.ac.in,,687.5
51488,Gujarat University of Transplantation Sciences,44712,157800,0,0,6440.04,0,9329.16,26-04-1956,2.00% @ 55,www.guts.education,,114278.24
114653,Gujarat National Law University,49512,66192,0,0,4071.78,0,17631.72,03-05-1968,2.00% @ 55,gnlu.ac.in,,53457.59
110416,Saurashtra University,22879.56,38749.56,0,0,0,0,0,25-08-1988,,saurashtrauniversity.edu,Rajkot,4673
120435,Shri Govind Guru University,54648,77856,0,12025.85,1083.47,0,9122.19,24-01-1965,2.00% @ 55,sggu.ac.in,Godhra,68614.04
92139,Gujarat Forensic Sciences University,49512,66192,0,0,3770.37,,16100.52,13-08-1962,2.00% @ 62,gfsu.edu.in,,52943.85
97525,Sardar Patel University,39456,73944,0,,650,0,9237.72,23-05-1962,2.00% @ 55,spuvvn.edu,,62335.72
85122,Navsari Agricultural University,28079.4,41432.76,0,0,0,0,0,12-07-1982,,www.nau.in,Navsari,1519.7
47490,Gujarat Ayurved University,85188,162768,0,0,7253.2,0,23270.64,04-01-1951,2.00% @ 55,ayurveduniversity.edu.in,Jamnagar,95786.1
36130,Dharamsinh Desai University,49512,66192,0,0,0,,89.64,14-01-1985,Part-Time Seasonal and Temporary (PST) Retirement Plan,ddu.ac.in,,25758.36
105281,Saurashtra University,34152,59976,0,1563.38,650,,2999.56,05-07-1965,2.00% @ 62,saurashtrauniversity.edu,Rajkot,16352.38
13077,Sardarkrushinagar Dantiwada Agricultural University,22879.56,38749.56,0,0,2029.11,0,0,25-03-1981,,sdau.edu.in,,2029.11
87729,Navsari Agricultural University,22879.56,38749.56,0,,5896.75,,0,23-11-1982,,www.nau.in,Navsari,8454.25
111272,Saurashtra University,22879.56,38749.56,0,,1674,0,0,18-02-1986,,saurashtrauniversity.edu,Rajkot,1674
1873,Institute of Infrastructure Technology Research and Management,56124,70536,8881.47,0,250,,23510.64,22-01-1964,2.00% @ 55,iitram.ac.in,,61926.19
47518,Gujarat Ayurved University,62484,79848,1149.03,0,446.5,0,23510.64,09-09-1961,2.00% @ 60,ayurveduniversity.edu.in,Jamnagar,60690.45
116853,Shri Govind Guru University,92088,292068,0,,138,0,19041.45,27-06-1984,2.00% @ 55,sggu.ac.in,Godhra,183352.59
48137,Gujarat Ayurved University,28079.4,41432.76,0,,0,,0,14-07-1975,,ayurveduniversity.edu.in,,3585
74527,Gujarat Technological University,22879.56,38749.56,0,0,38.5,,0,04-11-1964,,gtu.ac.in,Ahmedabad,38.5
